nanotpodsakad dapsuwezdek	able
swoytodkolfsab semotesub	all
djunimhayjiv bindjimnyamkem	animal
cupkorgetchal kulkopgamdjuh	bark
tcwankampalserkrav katcimkitbed	bed
barpedudjiv perbetumhar	belly
dagrankebar beskukubki	big
nyawpahterptitcir bursendegtor	bird
cyesanhundamkrof darpidamtci	blood
weshadgus tulpyomfuphon	bone
hayelninbatit nakrimtotko	child
eskridjwodestolmak metcekdawtsuk	desk
pergotkalpyos ndjingembwanu	dog
ardwodrehakan telgwisikmim	ear
wevbedandayiy telalyatam	egg
yenhoklas matnundjitme	eye
djifgrastcardeh lemgirmorbur	fat
babadet babodbabtcit	father
yimplumpanpiric bulgitnyoyhan	feather
cawpokolthornim setcokidsuk	few
djidafnyanahnog kuksonkutsum	fingernail
yiripezamat kamulsamuo	fish
wusinpyatham limdastantsut	five
dibisfardiypol lanpadsakyuk	floor
florphulzahwatsvit bunkotuahan	flower
djyawperegstapye kakbalmguci	foot
dsangaboslyes hutsupmsitmor	forest
kwatsarbatcit mpatnetneyot	four
cweyfrutphalfakplot buyoltunkud	fruit
tsawherneghastrav rumpulnyaskus	grass
tofolkabalcar ramtolnywelkam	hair
cowmanhatruk tansomkonte	hand
talvahown diguyeykar	he
towkabsarasgal kepmorkitam	head
djunpesbharteqtij bermugzitmo	heavy
djelkiyahenzdes sinyoghapkok	here
djyawsikweroqar tanpulpemtsun	horn
dzankesaykakom bagtokvipkag	how
vyaknsanbrantcil ransarmtuhit	human
malawpatgozmuj sunamumto	husband
woyome kunamimwat	i
ciroghutkarod lutmurgothiz	knee
yehapatwaris dipdjanha	leaf
twepyeregtanag kakdarmguci	leg
tcanlartowdlam pangirefnag	long
pyohdcaqamvoc kutitcawcir	louse
adnanbregmuc lelnamwantok	man
mudwobahmnoket bamangoi	many
karowmaslah dagsalnyanik	meat
djinirspehdarzer fitkokikag	mirror
mamad bumomamhah	mother
bokmuhanrodzwe mulipkinkut	mouth
delbicparaz meshalazkan	must
estredjaytanski semdjopmbamsem	narrow
neciyzarhtad perpirhithit	need
binakmanarnos hidkopuhan	nose
bunehc tidnisina	not
yikwahdino sathamodhit	one
tcitustantrog ladarnginhok	other
peranvyakcaktcil ransarmtuhit	person
diflugdjagmakmes temtcanpahbac	place
gangedjaraikor karpurmzizne	root
kweracanhabvir talbatkanaw	rope
bidjunbez bencimbegtan	seed
djyastantakporaf raksonraftan	shelf
dwanatkorqos pendjalfupmid	short
yindebtcahdol patwelazbek	should
cwetsinifregbal sincinkacin	sink
pipyeltvatgelkoz kulsalngozkaw	skin
cyawpektchotsogmal kedjakdogtcis	small
carsaphanzmiy larbenyokheb	snake
djigutlgunecow bebtonbadsuk	some
cudanpalsay batmakfimtsu	stick
weykolputelhvos korkormko	tail
nasevahdaw tugulere	that
vihentanal sitgogpalsok	there
tamiyosvehom mergudwakar	they
grwesmotehowtol tebduknentsu	thick
bawpadelofton nipyalnanhos	thin
donkostcizvec bemulkitmon	thing
djesteyah nihikor	this
tresantintal tigsetatmit	three
cadyemsamwaqvrem macigwakdjik	time
lendcablesyiz lidhyolimcit	tongue
yatyendatsenzup gigidjinha	tooth
cugderbol poknamtiki	tree
ardvostnen dudulmbilfut	two
yawizkertcahot mahbilwanhoc	want
womoshamhna kitrisiswat	we
cankekyahcto pamwotninan	what
cantakabkwan bilndjelintsu	when
kahfengdonal mandiwapdok	where
ceykyeminkto sinugnandar	who
kwantcorwas lebnolpanhir	wide
patmelawjimuh sternemketsum	wife
tcwanvenkhircebkno tintcandirmad	window
tcibakenklal saynalbawtsub	wing
muhsetjenirat peryodmwana	woman
guskirdutcyoytcer tcatbolfumim	worm
entuni nkawnowewnat	you
nimtovosp kanohninat	youall
