perpisob	person
dinkoyjet	thing
ortlugmyey	place
tsayteptcas	time
volkirhtce	want
zoldivpov	should
misdivmuc	must
kenpudmoj	able
brawnispot	need
cpigcpaylus	mirror
vacpizlef	sink
betkamwuc	bed
fenjankno	window
regpratpuw	shelf
crayckrivbyur	desk
bodpispod	floor
iheuya	I
dututi	you
ealon	he
vinocmi	we
iavocvi	youall
zilicni	they
dictuto	this
daskiltam	that
hikitu	here
daitam	there
vekaykto	who
vaskitso	what
vodigdje	where
vankwadked	when
vikomyak	how
nihnawne	not
latodfcis	all
filmuyduj	many
yniglguckil	some
venpokmaw	few
ndartruni	other
aynsuyed	one
tsvaydodva	two
draytrectci	three
fikwatcter	four
finsikpyen	five
grosgradvyel	big
lanlogdwug	long
braylarcer	wide
dikcpesgew	thick
cvepiztcew	heavy
klaypikmaw	small
kurkurkrut	short
enctrayvow	narrow
dinfintcen	thin
frawmuykob	woman
mamaymew	man
memaytcwov	human
kinkridjet	child
frawmuyjon	wife
mamarmow	husband
mutmaymat	mother
fatpaytcet	father
tinimzvyej	animal
ficpayrib	fish
fogviptak	bird
hunkawpyes	dog
lawpivec	louse
clansirvow	snake
vurverob	worm
bawrvurdjev	tree
valflulas	forest
ctokbackiy	stick
fruhfrutvot	fruit
zamsimjar	seed
blatfoylic	leaf
vurakoj	root
rinkackor	bark
blumflorkfyat	flower
grasrvatrav	grass
zaykorcnur	rope
hawpelskur	skin
flaykarmyew	meat
blutsakref	blood
knohsukoc	bone
fetgurtwuc	fat
ayvuyay	egg
horcifruk	horn
cvankawgon	tail
fedpenpyur	feather
hakabvwos	hair
kopkabgwov	head
oarayho	ear
wgayuko	eye
naznarnos	nose
munboksta	mouth
tsandetzom	tooth
tsunligyew	tongue
finapaz	fingernail
fuspestop	foot
baypernog	leg
knijukol	knee
hamawren	hand
fligzaskcid	wing
bawvetbjuh	belly
yngavtranvnen	guts
halpiciy	neck
rikocplet	back
bruspaypyer	breast
herkurser	heart
lebfigvon	liver
trinbipi	drink
eskumye	eat
baymurgric	bite
zawsugsa	suck
cpukucplu	spit
brehvumvim	vomit
blasupdmuh	blow
tmaricdih	breathe
lahricmya	laugh
zevevid	see
herwviswic	hear
visabvye	know
denpesmic	think
rihcaytcu	smell
firtimba	fear
clafdurspa	sleep
lebvivji	live
ctermurmyer	die
tetmatzab	kill
kemlutval	fight
yakaspol	hunt
clagbadej	hit
cnaykurtcon	cut
cparacrom	split
ctehcfakdjga	stab
kratracdrap	scratch
grabkavkop	dig
cvinadpwiv	swim
fligvulat	fly
gendid	walk
komvipcih	come
ligdaylej	lie
zitsetced	sit
ctepesta	stand
drevirbrat	turn
falkapad	fall
gebdada	give
halsigtcim	hold
kvetpirctcis	squeeze
raycfrigtce	rub
vaclavmi	wash
vicugvit	wipe
tsipuctcon	pull
drikpurpha	push
vertirjut	throw
bintavyow	tie
nekuci	sew
tselkotlit	count
zagdizmuv	say
zinkatcpyev	sing
cpilbrigra	play
cvebflutpwiv	float
flisflupwin	flow
frirjilmroj	freeze
cvelcapen	swell
zonsolswon	sun
monlukcew	moon
cterctrelgvyaz	star
vasgwavod	water
regcuvdec	rain
flusrijek	river
zelagyej	lake
memarmoj	sea
zalsalsul	salt
ctaypedkam	stone
zanraypyas	sand
ctawpukuc	dust
daterjem	earth
volnuvhmur	cloud
nebnivmgwa	fog
himsewneb	sky
vinvetvyat	wind
cnenevcnek	snow
ayjelut	ice
rawfumdim	smoke
fofogen	fire
casizpop	ash
brenrdepal	burn
ctractradrog	road
bermongur	mountain
rotvirtcer	red
grinverjel	green
gelmarjuw	yellow
vaybrakbyaw	white
cvarpretcar	black
nahnoynot	night
takdidjen	day
yanurok	year
varketcep	warm
kalfrijim	cold
folcaypew	full
noynovnov	new
altveystar	old
gutbodob	good
clehmawzwi	bad
