perpisob,person,perzon,pisoa,osoba,
dinkoyjet,thing,din,koyza,jetc,
ortlugmyey,place,ort,lugar,myeystse,
tsayteptcas,time,tsayt,tepu,tcas,
volkirhtce,want,vol,kir,htce,
zoldivpov,should,zol,div,povin,
misdivmuc,must,mis,div,muce,
kenpudmoj,able,ken,pude,moj,
brawnispot,need,brawh,nisisita,potceb,
cpigcpaylus,mirror,cpigal,icpayu,lustro,
vacpizlef,sink,vacbekn,pia,zlef,
betkamwuc,bed,bet,kama,wucko,
fenjankno,window,fensta,janela,okno,
regpratpuw,shelf,regal,pratilayra,puwka,
crayckrivbyur,desk,crayptic,ickrivaninya,byurko,
bodpispod,floor,bodn,piso,podwoga,
iheuya,I,ih,eu,ya,
dututi,you,du,tu,ti,
ealon,he,ea,eli,on,
vinocmi,we,via,noc,mi,
iavocvi,youall,ia,voc,vi,
zilicni,they,zi,elic,oni,
dictuto,this,dis,ictu,to,
daskiltam,that,das,akilu,tamto,
hikitu,here,hia,aki,tu,
daitam,there,da,ai,tam,
vekaykto,who,vea,kay,kto,
vaskitso,what,vas,ki,tso,
vodigdje,where,vo,odi,gdje,
vankwadked,when,van,kwadu,kedi,
vikomyak,how,vi,komu,yak,
nihnawne,not,niht,naw,ne,
latodfcis,all,ala,todu,fcistko,
filmuyduj,many,fila,muytu,dujo,
yniglguckil,some,ayniga,alguc,kilka,
venpokmaw,few,venih,poku,mawo,
ndartruni,other,andara,otru,ini,
aynsuyed,one,ayns,u,yeden,
tsvaydodva,two,tsvay,doic,dva,
draytrectci,three,dray,trec,tci,
fikwatcter,four,fia,kwatru,tcteri,
finsikpyen,five,finf,siku,pyentc,
grosgradvyel,big,gros,gradi,vyelci,
lanlogdwug,long,lan,logu,dwugi,
braylarcer,wide,brayt,largu,ceroki,
dikcpesgew,thick,dik,icpesu,gewsti,
cvepiztcew,heavy,cvea,pizadu,tcewcki,
klaypikmaw,small,klayn,pikenu,mawi,
kurkurkrut,short,kurts,kurtu,krutki,
enctrayvow,narrow,en,ictraytu,vowski,
dinfintcen,thin,din,finu,tcenki,
frawmuykob,woman,fraw,muyer,kobyeta,
mamaymew,man,man,omay,mewctcizna,
memaytcwov,human,menc,omay,tcwovyek,
kinkridjet,child,kint,kriasa,djetsko,
frawmuyjon,wife,fraw,muyer,jona,
mamarmow,husband,man,maridu,mowc,
mutmaymat,mother,muta,may,matka,
fatpaytcet,father,fata,pai,oytcets,
tinimzvyej,animal,tia,animal,zvyeje,
ficpayrib,fish,fic,payci,riba,
fogviptak,bird,fogal,avi,ptak,
hunkawpyes,dog,hunt,kaw,pyes,
lawpivec,louse,laws,pioyu,vec,
clansirvow,snake,clana,sirpeti,vowc,
vurverob,worm,vurm,vermi,robak,
bawrvurdjev,tree,bawm,arvuri,djevo,
valflulas,forest,valt,flurecta,las,
ctokbackiy,stick,ctok,bactaw,kiy,
fruhfrutvot,fruit,fruht,fruta,ovots,
zamsimjar,seed,zaman,simeti,jarno,
blatfoylic,leaf,blat,foya,lictc,
vurakoj,root,vurtsal,raic,kojen,
rinkackor,bark,rinda,kacka,kora,
blumflorkfyat,flower,bluma,flor,kfyat,
grasrvatrav,grass,gras,erva,trava,
zaykorcnur,rope,zayl,korda,cnur,
hawpelskur,skin,hawt,peli,skura,
flaykarmyew,meat,flayc,karni,myewso,
blutsakref,blood,blut,sagi,kref,
knohsukoc,bone,knohan,osu,koctc,
fetgurtwuc,fat,fet,gurdura,twuctc,
ayvuyay,egg,ay,ovu,yayko,
horcifruk,horn,horn,cifri,ruk,
cvankawgon,tail,cvants,kawda,ogon,
fedpenpyur,feather,feda,pena,pyuro,
hakabvwos,hair,ha,kabelu,vwos,
kopkabgwov,head,kopf,kabesa,gwova,
oarayho,ear,oa,oraya,uho,
wgayuko,eye,awga,oyu,oko,
naznarnos,nose,naza,naric,nos,
munboksta,mouth,munt,boka,usta,
tsandetzom,tooth,tsan,deti,zomp,
tsunligyew,tongue,tsuna,ligwa,yewzik,
finapaz,fingernail,finanagel,una,paznoketc,
fuspestop,foot,fus,pe,stopa,
baypernog,leg,bayn,perna,noga,
knijukol,knee,kni,juayu,kolano,
hamawren,hand,hant,maw,renka,
fligzaskcid,wing,fligal,aza,skcidwo,
bawvetbjuh,belly,bawh,vetri,bjuh,
yngavtranvnen,guts,ayngavayda,etranac,vnentcnoctci,
halpiciy,neck,hals,pickosu,ciya,
rikocplet,back,rikan,koctac,pletsi,
bruspaypyer,breast,brust,paytu,pyerc,
herkurser,heart,herts,kurasaw,sertse,
lebfigvon,liver,leba,figadu,vontroba,
trinbipi,drink,trink,bib,pi,
eskumye,eat,es,kum,ye,
baymurgric,bite,bays,murd,gric,
zawsugsa,suck,zawg,sug,sa,
cpukucplu,spit,cpuk,kucp,plu,
brehvumvim,vomit,eabreh,vumit,vimyoto,
blasupdmuh,blow,blaz,supr,dmuha,
tmaricdih,breathe,atma,ricpir,odiha,
lahricmya,laugh,lah,ri,cmya,
zevevid,see,ze,ve,vidje,
herwviswic,hear,her,owvi,swice,
visabvye,know,vis,sab,vye,
denpesmic,think,denk,pes,micle,
rihcaytcu,smell,rih,cayr,tcu,
firtimba,fear,firht,tim,ba,
clafdurspa,sleep,claf,durm,spa,
lebvivji,live,leb,viv,ji,
ctermurmyer,die,cterb,mur,umyera,
tetmatzab,kill,tet,mat,zabi,
kemlutval,fight,kempf,lut,valtc,
yakaspol,hunt,yag,kas,polo,
clagbadej,hit,clag,bat,udeja,
cnaykurtcon,cut,cnayd,kurt,tcon,
cparacrom,split,cpalt,rac,romb,
ctehcfakdjga,stab,cteh,icfakj,djga,
kratracdrap,scratch,krats,racp,drap,
grabkavkop,dig,grab,kav,kop,
cvinadpwiv,swim,cvim,nad,pwiva,
fligvulat,fly,flig,vu,lata,
gendid,walk,ge,anda,id,
komvipcih,come,kom,vi,pcihodj,
ligdaylej,lie,lig,dayt,lej,
zitsetced,sit,zits,set,cedj,
ctepesta,stand,cte,pe,sta,
drevirbrat,turn,dre,vir,obrats,
falkapad,fall,fal,kai,pada,
gebdada,give,geb,da,da,
halsigtcim,hold,halt,sigur,tcima,
kvetpirctcis,squeeze,kvetc,apirt,ctcisk,
raycfrigtce,rub,rayb,icfrig,tce,
vaclavmi,wash,vac,lav,mi,
vicugvit,wipe,vic,ecug,vitcer,
tsipuctcon,pull,tsi,puc,tcongno,
drikpurpha,push,drik,epur,pha,
vertirjut,throw,verf,atir,jutsa,
bintavyow,tie,bind,ata,vyowz,
nekuci,sew,ne,kuz,ci,
tselkotlit,count,tsel,kot,litc,
zagdizmuv,say,zag,diz,muv,
zinkatcpyev,sing,zin,kat,cpyev,
cpilbrigra,play,cpil,brik,gra,
cvebflutpwiv,float,cveb,flutu,pwiv,
flisflupwin,flow,flis,flu,pwin,
frirjilmroj,freeze,frir,jil,mroj,
cvelcapen,swell,cvel,ica,pentcne,
zonsolswon,sun,zona,sol,swontse,
monlukcew,moon,mont,lua,kcewjits,
cterctrelgvyaz,star,ctern,ictrela,gvyazda,
vasgwavod,water,vasa,agwa,voda,
regcuvdec,rain,regan,cuva,dectc,
flusrijek,river,flus,riu,jeka,
zelagyej,lake,ze,lagu,yejoro,
memarmoj,sea,mea,mar,moje,
zalsalsul,salt,zalts,sal,sul,
ctaypedkam,stone,ctayn,pedra,kamyen,
zanraypyas,sand,zant,araya,pyasek,
ctawpukuc,dust,ctawp,puayra,kuc,
daterjem,earth,eada,tera,jemya,
volnuvhmur,cloud,volka,nuvay,hmura,
nebnivmgwa,fog,nebal,nivuayru,mgwa,
himsewneb,sky,himal,sew,nebo,
vinvetvyat,wind,vint,vetu,vyatr,
cnenevcnek,snow,cne,nevi,cnek,
ayjelut,ice,ays,jelu,lut,
rawfumdim,smoke,rawh,fumu,dim,
fofogen,fire,foia,fogu,ogen,
casizpop,ash,aca,sizac,popyuw,
brenrdepal,burn,bren,arde,pali,
ctractradrog,road,ctrasa,ictrada,droga,
bermongur,mountain,berk,montana,gura,
rotvirtcer,red,rot,virmayu,tcervoni,
grinverjel,green,grin,verdi,jeloni,
gelmarjuw,yellow,gelp,amarelu,juwti,
vaybrakbyaw,white,vays,braku,byawi,
cvarpretcar,black,cvarts,pretu,tcarni,
nahnoynot,night,naht,noyti,nots,
takdidjen,day,tak,dia,djen,
yanurok,year,ya,anu,rok,
varketcep,warm,varm,keti,tcepwi,
kalfrijim,cold,kalt,friu,jimni,
folcaypew,full,fol,cayu,pewni,
noynovnov,new,noy,novu,novi,
altveystar,old,alt,veyu,stari,
gutbodob,good,gut,bo,dobri,
clehmawzwi,bad,cleht,maw,zwi,
